,Player,Nation,Pos,Squad,Age,90s_played,TotalAtt_Pass,TotalComp_Passes,Pass_Blocked,Live_Passes,Dead_Passes,Switches_Pass,Cross_Passes
257,Jorginho,it ITA,MF,Chelsea,30,14.2,884,749,11,853,28,3,2
258,Mateo Joseph,eng ENG,"FW,MF",Leeds United,18,0.3,3,2,0,3,0,0,0
259,Diogo Jota,pt POR,FW,Liverpool,25,12.6,381,286,14,379,2,1,8
260,Hamed Junior Traorè,ci CIV,"FW,MF",Bournemouth,22,4.7,178,109,4,149,28,0,41
261,James Justin,eng ENG,DF,Leicester City,24,13.9,819,667,19,687,130,4,21
262,Mathias Jørgensen,dk DEN,DF,Brentford,32,12.3,503,404,2,437,65,0,3
263,Sasa Kalajdzic,at AUT,FW,Wolves,25,0.5,4,2,1,4,0,0,0
264,Boubacar Kamara,fr FRA,MF,Aston Villa,22,19.7,941,798,20,907,34,10,1
265,Harry Kane,eng ENG,FW,Tottenham,29,37.8,921,642,39,853,60,18,37
266,N'Golo Kanté,fr FRA,MF,Chelsea,31,5.8,338,271,12,336,0,1,11
267,Michael Keane,eng ENG,DF,Everton,29,10.9,441,305,8,429,9,0,4
268,Neeskens Kebano,cd COD,FW,Fulham,30,8.5,212,155,16,206,6,1,24
269,Thilo Kehrer,de GER,DF,West Ham,25,24.8,1112,927,14,992,116,6,23
270,Naby Keïta,gn GUI,MF,Liverpool,27,3.3,168,129,7,161,6,0,2
271,Caoimhín Kelleher,ie IRL,GK,Liverpool,23,1.0,24,23,0,22,2,0,0
272,Lloyd Kelly,eng ENG,DF,Bournemouth,23,22.7,1164,934,12,1020,140,11,14
273,Max Kilman,eng ENG,DF,Wolves,25,36.7,2107,1748,20,2069,29,31,5
274,Jakub Kiwior,pl POL,DF,Arsenal,22,4.7,205,177,4,192,13,1,1
275,Mateusz Klich,pl POL,"MF,FW",Leeds United,32,3.1,148,108,7,139,9,0,8
276,Robin Koch,de GER,DF,Leeds United,26,35.3,1594,1229,25,1544,46,5,1
277,Ibrahima Konaté,fr FRA,DF,Liverpool,23,17.2,1135,988,5,1115,19,6,1
278,Ezri Konsa,eng ENG,DF,Aston Villa,24,36.9,1898,1681,14,1806,88,6,4
279,Kalidou Koulibaly,sn SEN,DF,Chelsea,31,20.0,1471,1275,12,1421,45,15,4
280,Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,32,9.8,246,185,7,241,4,1,0
281,Mateo Kovačić,hr CRO,MF,Chelsea,28,19.0,1319,1130,25,1289,29,10,6
282,Emil Krafth,se SWE,DF,Newcastle Utd,27,0.0,0,0,0,0,0,0,0
283,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,22,23.0,746,582,26,684,61,3,62
284,Layvin Kurzawa,fr FRA,DF,Fulham,29,1.5,41,28,2,29,12,0,2
